Yrke grovgruppe,counts
Akademiske yrker,753
Barne- og ungdomsarbeid,552
Butikk- og salgsarbeid,1442
Bygg og anlegg,1545
"Helse, pleie og omsorg",3137
Industriarbeid,1020
Ingen yrkesbakgrunn eller uoppgitt,240
Ingeniør- og ikt-fag,1285
"Jordbruk, skogbruk og fiske",185
Kontorarbeid,722
Ledere,308
Meglere og konsulenter,501
Reiseliv og transport,1150
Serviceyrker og annet arbeid,1130
Undervisning,1630
