Number,Time
355.0,37.955036
356.0,38.198485
357.0,38.261542
358.0,38.377151
359.0,38.500315
360.0,38.544102
361.0,38.600121
362.0,38.641014
363.0,38.710707
364.0,38.776536
365.0,38.852334
366.0,38.979737
367.0,39.074863
368.0,39.161686
369.0,39.213994
370.0,39.293892
371.0,39.387424
372.0,39.455395
373.0,39.541242
374.0,39.704575
375.0,39.821167
376.0,39.970857
377.0,40.092027
378.0,40.192436
379.0,40.289071
380.0,40.319143
381.0,40.474117
382.0,40.615935
383.0,40.727186
384.0,40.962499
385.0,41.148464
386.0,41.182604
387.0,41.213301
388.0,41.226366
389.0,41.252443
390.0,41.322442
391.0,41.433359
392.0,41.461845
393.0,41.691222
394.0,41.8584
395.0,41.987306
396.0,42.059171
397.0,42.153142
398.0,42.37116
399.0,42.455128
400.0,42.545519
401.0,42.636408
402.0,42.649353
403.0,42.752398
404.0,42.850145
405.0,42.877191
406.0,42.966124
407.0,43.047925
408.0,43.06595
409.0,43.169022
410.0,43.177073
411.0,43.228011
412.0,43.317016
413.0,43.459107
414.0,43.537098
415.0,43.731145
416.0,44.08843
417.0,44.190176
418.0,44.348936
419.0,44.524827
420.0,44.595433
421.0,44.706639
422.0,44.810954
423.0,44.930093
424.0,45.120368
425.0,45.257194
426.0,45.455102
427.0,45.554248
428.0,45.721181
429.0,45.913251
430.0,46.079493
431.0,46.181131
432.0,46.280018
433.0,46.383384
434.0,46.429356
435.0,46.597753
436.0,46.640928
437.0,46.715259
438.0,46.951588
439.0,47.054167
440.0,47.124086
441.0,47.253535
442.0,47.430371
443.0,47.510408
444.0,47.679499
445.0,47.824128
446.0,47.953505
447.0,48.19498
448.0,48.335296
449.0,48.406185
450.0,48.477668
451.0,48.506548
452.0,48.597522
453.0,48.73022
454.0,48.924469
455.0,49.032598
456.0,49.087443
457.0,49.213206
458.0,49.319023
459.0,49.441111
460.0,49.60281
461.0,49.721906
462.0,49.84897
463.0,50.079188
464.0,50.303507
465.0,50.331491
466.0,50.527552
467.0,50.658502
468.0,50.847485
469.0,50.950332
470.0,51.075365
471.0,51.203326
472.0,51.387439
473.0,51.5105
474.0,51.679569
475.0,51.687613
476.0,51.755248
477.0,51.779184
478.0,51.818149
479.0,52.014612
480.0,52.079076
481.0,52.204258
482.0,52.334877
483.0,52.413945
484.0,52.424915
485.0,52.490399
486.0,52.574273
487.0,52.591639
488.0,52.737167
489.0,52.834189
490.0,52.953416
491.0,53.030203
492.0,53.24959
493.0,53.465015
494.0,53.580583
495.0,53.590676
496.0,53.71583
497.0,53.862127
498.0,54.055146
499.0,54.172979
500.0,54.369654
501.0,54.461181
502.0,54.581205
503.0,54.713207
504.0,54.771091
505.0,54.879037
506.0,54.987098
507.0,55.127755
508.0,55.174038
509.0,55.292143
510.0,55.421473
511.0,55.579381
512.0,55.708171
513.0,55.865182
514.0,56.058006
515.0,56.196977
516.0,56.299232
517.0,56.324226
518.0,56.53143
519.0,56.577418
520.0,56.623135
521.0,56.788232
522.0,56.821523
523.0,57.042046
524.0,57.129292
525.0,57.210379
526.0,57.234501
527.0,57.506329
528.0,57.59699
529.0,57.734526
530.0,57.925518
531.0,58.04091
532.0,58.143977
533.0,58.301309
534.0,58.342829
535.0,58.389233
536.0,58.421568
537.0,58.443548
538.0,58.589557
539.0,58.711484
540.0,58.780246
541.0,58.878313
542.0,58.924299
543.0,59.034633
544.0,59.347137
545.0,59.45218
546.0,59.519892
547.0,59.572499
548.0,59.650371
549.0,59.682416
550.0,59.821371
551.0,59.864415
552.0,59.89737
553.0,60.051388
554.0,60.260359
555.0,60.37091
556.0,60.432859
557.0,60.571928
558.0,60.726409
559.0,60.799263
560.0,60.824258
561.0,60.875172
562.0,60.993192
563.0,61.124213
564.0,61.146188
565.0,61.282168
566.0,61.311184
567.0,61.358183
568.0,61.475497
569.0,61.573146
570.0,61.601033
571.0,61.714096
572.0,61.874972
573.0,62.015181
574.0,62.029216
575.0,62.123508
576.0,62.24916
577.0,62.344772
578.0,62.432401
579.0,62.543383
580.0,62.61542
581.0,62.717072
582.0,62.910409
583.0,62.964404
584.0,63.112751
585.0,63.238378
586.0,63.302209
587.0,63.52786
588.0,63.587149
589.0,63.694462
590.0,63.755341
591.0,63.901121
592.0,64.087325
593.0,64.111401
594.0,64.117451
595.0,64.227203
596.0,64.378195
597.0,64.510314
598.0,64.53726
599.0,64.594198
600.0,64.662243
601.0,64.757138
602.0,64.887916
603.0,64.914885
604.0,64.982169
605.0,65.060953
606.0,65.096417
607.0,65.194267
608.0,65.247163
609.0,65.33517
610.0,65.382149
611.0,65.52142
612.0,65.709339
613.0,65.749184
614.0,65.862244
615.0,66.030091
616.0,66.194916
617.0,66.362379
618.0,66.455239
619.0,66.569394
620.0,66.717324
621.0,66.77933
622.0,66.859358
623.0,66.895323
624.0,67.01106
625.0,67.132214
626.0,67.154111
627.0,67.250915
628.0,67.337885
629.0,67.427988
630.0,67.519556
631.0,67.559528
632.0,67.758383
633.0,67.857416
634.0,67.96014
635.0,68.019254
636.0,68.135495
637.0,68.265335
